Species,Longitude,Latitude,Range
b_dorsalis,7.083,13.583,Invasive
b_dorsalis,33.583,13.583,Invasive
b_dorsalis,80.25,13.583,Native
b_dorsalis,99.75,13.583,Native
b_dorsalis,100.25,13.583,Native
b_dorsalis,101.417,13.583,Native
b_dorsalis,-16.583,13.417,Invasive
b_dorsalis,-6.25,13.417,Invasive
b_dorsalis,77.583,13.417,Native
b_dorsalis,79.083,13.417,Native
b_dorsalis,103.75,13.417,Native
b_dorsalis,144.75,13.417,Invasive
b_dorsalis,-2.417,13.25,Invasive
b_dorsalis,33.917,13.25,Invasive
b_dorsalis,99.75,13.25,Native
b_dorsalis,-3.083,13.083,Invasive
b_dorsalis,-1.083,13.083,Invasive
b_dorsalis,1.75,13.083,Invasive
b_dorsalis,2.917,13.083,Invasive
b_dorsalis,3.25,13.083,Invasive
b_dorsalis,30.417,13.083,Invasive
b_dorsalis,77.917,13.083,Native
b_dorsalis,80.25,13.083,Native
b_dorsalis,-14.917,12.917,Invasive
b_dorsalis,77.583,12.917,Native
b_dorsalis,100.917,12.917,Native
b_dorsalis,-7.917,12.75,Invasive
b_dorsalis,-1.083,12.75,Invasive
b_dorsalis,34.083,12.75,Invasive
b_dorsalis,-16.25,12.583,Invasive
b_dorsalis,75.75,12.583,Native
b_dorsalis,77.417,12.583,Native
b_dorsalis,78.25,12.583,Native
b_dorsalis,99.917,12.583,Native
b_dorsalis,-3.417,12.417,Invasive
b_dorsalis,-1.583,12.417,Invasive
b_dorsalis,-1.25,12.417,Invasive
b_dorsalis,75.917,12.417,Native
b_dorsalis,99.917,12.417,Native
b_dorsalis,-2.583,12.25,Invasive
b_dorsalis,-2.417,12.25,Invasive
b_dorsalis,-1.917,12.25,Invasive
b_dorsalis,-1.417,12.083,Invasive
b_dorsalis,-0.417,12.083,Invasive
b_dorsalis,3.25,12.083,Invasive
b_dorsalis,15.083,12.083,Invasive
b_dorsalis,105.583,12.083,Native
b_dorsalis,3.417,11.917,Invasive
b_dorsalis,-1.25,11.583,Invasive
b_dorsalis,99.583,11.583,Native
b_dorsalis,-7.417,11.417,Invasive
b_dorsalis,-5.583,11.417,Invasive
b_dorsalis,3.083,11.417,Invasive
b_dorsalis,76.75,11.417,Native
b_dorsalis,-4.25,11.25,Invasive
b_dorsalis,-0.25,11.25,Invasive
b_dorsalis,7.583,11.25,Invasive
b_dorsalis,0.083,11.083,Invasive
b_dorsalis,7.75,11.083,Invasive
b_dorsalis,-1.083,10.917,Invasive
b_dorsalis,0.25,10.917,Invasive
b_dorsalis,99.25,10.917,Native
b_dorsalis,106.583,10.917,Native
b_dorsalis,108.083,10.917,Native
b_dorsalis,-0.75,10.75,Invasive
b_dorsalis,1.25,10.75,Invasive
b_dorsalis,1.417,10.75,Invasive
b_dorsalis,1.417,10.583,Invasive
b_dorsalis,7.417,10.583,Invasive
b_dorsalis,15.083,10.583,Invasive
b_dorsalis,1.417,10.417,Invasive
b_dorsalis,99.083,10.417,Native
b_dorsalis,-14.417,10.25,Invasive
b_dorsalis,2.583,10.25,Invasive
b_dorsalis,77.417,10.25,Native
b_dorsalis,-8.75,10.083,Invasive
b_dorsalis,1.417,10.083,Invasive
b_dorsalis,1.583,10.083,Invasive
b_dorsalis,2.417,10.083,Invasive
b_dorsalis,34.583,10.083,Invasive
b_dorsalis,77.25,10.083,Native
b_dorsalis,2.75,9.917,Invasive
b_dorsalis,3.25,9.917,Invasive
b_dorsalis,8.917,9.917,Invasive
b_dorsalis,35.75,9.917,Invasive
b_dorsalis,1.75,9.75,Invasive
b_dorsalis,2.583,9.75,Invasive
b_dorsalis,2.75,9.75,Invasive
b_dorsalis,2.917,9.75,Invasive
b_dorsalis,2.583,9.583,Invasive
b_dorsalis,41.417,9.583,Invasive
b_dorsalis,99.083,9.583,Native
b_dorsalis,-5.583,9.417,Invasive
b_dorsalis,-0.75,9.417,Invasive
b_dorsalis,2.583,9.417,Invasive
b_dorsalis,2.75,9.417,Invasive
b_dorsalis,1.583,9.25,Invasive
b_dorsalis,2.25,9.25,Invasive
b_dorsalis,2.417,9.25,Invasive
b_dorsalis,2.917,9.25,Invasive
b_dorsalis,13.417,9.25,Invasive
b_dorsalis,36.75,9.25,Invasive
b_dorsalis,1.75,9.083,Invasive
b_dorsalis,2.083,9.083,Invasive
b_dorsalis,7.417,9.083,Invasive
b_dorsalis,99.083,9.083,Native
b_dorsalis,2.583,8.917,Invasive
b_dorsalis,80.75,8.917,Native
b_dorsalis,98.417,8.917,Native
b_dorsalis,98.75,8.917,Native
b_dorsalis,2.083,8.75,Invasive
